customer_id,order_date,order_value
333,2023-08-08,402
911,2020-04-27,357
602,2021-10-16,341
863,2020-04-17,462
19,2023-02-11,152
701,2021-04-15,191
717,2020-04-17,445
616,2020-01-10,269
330,2019-11-24,80
734,2020-09-12,466
377,2020-01-05,69
971,2020-02-19,441
582,2019-05-27,495
704,2022-09-05,242
451,2020-07-20,457
386,2020-07-11,191
297,2021-04-11,427
960,2023-02-25,403
162,2022-04-25,338
477,2022-04-17,244
701,2020-04-11,442
567,2022-03-05,415
73,2021-08-06,210
228,2020-05-17,378
715,2020-02-27,284
997,2021-06-21,263
360,2020-06-23,98
758,2020-01-14,362
965,2021-03-04,384
101,2022-10-01,41
4,2019-10-27,55
167,2020-10-28,349
547,2020-05-26,175
812,2019-03-17,75
408,2023-06-23,374
58,2023-09-07,267
65,2023-11-27,432
422,2022-04-18,280
595,2021-10-28,279
334,2023-09-22,454
213,2021-08-05,34
786,2021-07-04,497
872,2019-05-17,207
501,2023-03-15,45
500,2019-04-07,42
235,2021-06-11,400
231,2023-12-16,122
599,2020-11-16,48
582,2020-10-08,361
675,2021-03-13,76
29,2020-09-08,81
592,2023-04-14,462
50,2022-01-10,67
189,2021-12-25,386
554,2021-12-21,485
858,2021-04-29,54
24,2020-05-18,65
818,2021-10-02,52
645,2023-09-27,346
4,2023-05-05,245
234,2021-06-16,285
74,2022-05-07,235
785,2019-01-20,236
567,2023-02-01,195
159,2019-06-08,63
195,2020-10-30,238
453,2020-11-01,145
862,2023-09-25,389
188,2019-02-08,473
494,2023-05-26,398
128,2020-02-04,338
680,2023-09-02,324
811,2021-12-21,219
347,2021-05-04,104
944,2021-03-02,60
349,2020-12-26,230
845,2021-12-09,373
277,2021-07-03,58
126,2023-03-14,382
726,2020-01-22,426
630,2021-09-16,288
706,2021-06-14,381
806,2019-01-11,386
327,2022-10-21,200
802,2019-04-13,250
967,2020-03-16,495
412,2019-09-23,89
589,2022-09-22,332
574,2021-07-30,95
615,2023-04-13,470
461,2022-07-18,451
864,2022-02-13,295
54,2022-11-30,253
222,2021-11-18,337
640,2022-01-24,448
803,2023-10-30,338
122,2019-12-28,155
236,2019-07-19,173
592,2022-10-22,313
451,2021-04-13,367
863,2022-08-15,118
580,2021-02-03,383
997,2020-03-12,380
651,2023-06-28,444
166,2019-11-17,382
127,2022-12-24,377
2,2021-11-18,149
744,2021-10-21,26
573,2022-04-08,402
781,2023-08-03,124
391,2023-06-01,428
503,2021-06-25,326
444,2019-06-21,69
838,2022-05-20,243
918,2021-05-17,83
992,2019-10-08,415
765,2021-08-29,200
832,2021-10-01,94
46,2023-03-16,285
512,2023-10-25,208
436,2022-04-11,202
617,2019-07-18,374
899,2022-12-23,87
915,2020-11-06,189
499,2023-02-23,341
36,2019-01-26,191
613,2020-08-17,303
656,2020-01-25,126
18,2022-04-05,385
163,2019-03-17,130
466,2019-09-18,97
83,2021-05-04,205
337,2022-03-02,272
834,2020-05-30,255
750,2023-12-04,112
185,2023-07-24,149
151,2020-08-12,202
46,2023-06-22,53
131,2020-12-24,423
529,2019-07-14,322
3,2020-12-29,241
333,2021-12-24,393
883,2021-03-15,403
125,2023-04-29,301
199,2021-12-23,359
388,2023-02-20,20
338,2019-05-25,468
172,2023-05-12,492
712,2023-08-30,116
293,2021-03-21,106
872,2023-07-08,350
145,2023-02-25,271
326,2019-10-09,383
857,2023-08-30,34
97,2019-11-15,161
319,2019-08-20,330
574,2020-03-29,404
624,2019-10-13,308
166,2020-03-09,89
832,2022-04-01,331
544,2021-03-04,298
66,2020-10-09,73
618,2021-09-06,365
144,2019-02-13,406
363,2021-03-22,321
694,2021-04-27,271
150,2021-11-08,266
530,2023-08-18,153
202,2021-05-31,263
10,2020-09-21,428
513,2023-04-14,258
602,2022-09-04,36
444,2019-04-26,431
865,2019-02-05,435
14,2020-01-21,368
838,2020-03-27,298
827,2022-05-12,252
391,2023-08-07,419
998,2020-12-06,371
857,2022-01-21,173
746,2023-12-23,436
442,2019-09-04,205
663,2022-01-27,451
99,2019-10-28,102
109,2023-09-22,74
653,2021-10-25,444
483,2019-02-12,81
21,2021-07-17,420
272,2023-01-30,377
229,2021-12-30,78
925,2020-04-29,161
935,2022-07-29,485
295,2023-09-09,168
674,2019-03-10,466
866,2019-03-01,193
913,2023-11-20,330
247,2022-09-02,81
192,2019-05-27,186
495,2021-05-07,189
111,2022-04-04,323
138,2022-08-06,122
373,2021-03-11,47
550,2021-03-25,103
932,2022-05-07,153
460,2023-08-18,78
248,2021-11-02,109
103,2021-04-29,89
516,2020-07-28,442
645,2020-08-21,204
580,2022-07-02,457
215,2023-02-26,79
709,2020-03-24,493
539,2021-10-02,164
9,2020-07-30,187
446,2020-10-27,85
875,2023-04-02,390
320,2023-02-15,143
830,2023-07-20,232
909,2022-04-04,201
200,2023-11-27,90
1,2020-08-20,63
736,2021-05-30,359
397,2021-04-25,214
868,2020-08-01,76
288,2019-10-28,311
234,2021-11-29,76
431,2023-06-11,396
333,2022-12-20,190
454,2022-11-26,319
371,2020-10-30,337
597,2021-01-30,390
531,2020-10-29,102
280,2022-10-09,336
472,2022-10-03,113
267,2020-12-24,286
475,2023-09-12,352
70,2019-04-29,395
762,2023-11-28,180
324,2019-02-07,121
526,2019-09-14,396
191,2022-06-12,131
916,2023-09-17,85
996,2019-01-07,129
969,2022-05-14,139
137,2023-07-16,298
733,2020-12-22,261
448,2020-07-23,452
564,2023-09-07,167
33,2019-10-08,261
153,2021-06-12,241
788,2022-02-16,290
524,2022-08-07,469
969,2023-05-14,305
197,2020-11-15,492
669,2019-02-25,23
617,2022-08-10,339
425,2023-09-25,340
298,2023-09-04,27
239,2023-11-30,71
236,2021-01-28,161
634,2022-03-31,333
6,2022-02-20,286
404,2021-04-23,334
126,2022-08-02,299
362,2023-06-30,107
112,2023-02-15,179
138,2023-04-27,492
965,2023-11-04,321
192,2023-05-19,47
27,2021-08-20,35
703,2023-06-12,317
383,2023-11-23,378
546,2023-03-09,291
314,2021-11-15,119
930,2022-12-19,415
866,2021-08-19,223
249,2022-04-28,209
891,2023-06-17,53
122,2023-01-12,313
394,2021-12-25,402
751,2021-01-15,487
809,2019-08-11,450
397,2019-09-09,482
398,2020-02-09,297
289,2021-06-24,355
615,2019-08-09,363
591,2019-06-19,278
802,2022-06-10,276
84,2022-06-25,72
109,2020-01-07,211
140,2021-12-29,191
569,2022-08-15,66
312,2022-11-18,441
1,2022-06-29,210
93,2020-03-15,390
950,2020-12-10,484
90,2020-03-14,60
462,2023-05-01,424
28,2022-12-28,448
598,2021-01-17,416
610,2021-12-10,213
469,2021-08-31,85
936,2022-01-01,62
882,2022-12-05,209
537,2023-07-18,108
297,2020-10-29,495
966,2020-01-31,195
647,2019-01-23,388
126,2023-07-20,45
503,2020-05-24,118
477,2020-06-06,495
704,2023-05-28,80
615,2020-10-24,400
919,2021-04-10,269
219,2019-08-09,394
69,2019-01-23,337
453,2023-10-15,244
512,2021-05-03,101
46,2020-04-07,417
999,2019-09-25,201
379,2019-09-13,444
528,2023-06-07,207
602,2022-01-30,412
29,2021-11-13,63
977,2021-07-29,331
500,2019-07-01,497
899,2020-05-12,278
421,2022-09-09,117
362,2022-01-08,372
204,2019-03-27,110
919,2020-12-23,334
501,2021-03-19,348
117,2022-10-31,160
825,2022-11-14,433
630,2021-08-10,328
509,2020-01-13,271
67,2021-09-25,227
613,2020-03-14,198
727,2021-09-02,317
59,2020-12-31,429
646,2021-03-04,206
461,2019-09-05,344
350,2020-05-10,129
544,2022-10-22,238
378,2023-07-13,482
761,2020-09-23,367
14,2023-05-28,22
282,2019-02-23,60
725,2021-07-18,144
317,2019-03-04,276
51,2020-09-17,212
604,2021-03-06,134
377,2019-08-24,89
158,2021-06-28,478
777,2019-04-25,401
807,2021-09-02,325
443,2022-06-24,355
415,2020-01-06,116
712,2023-05-26,235
128,2022-06-14,334
34,2023-10-26,243
42,2023-07-25,349
831,2020-06-12,338
414,2020-04-18,300
776,2020-03-01,413
125,2023-11-11,352
323,2020-08-29,399
326,2022-04-25,148
400,2021-12-06,118
783,2020-09-01,289
167,2023-04-01,424
821,2019-04-25,266
16,2021-01-25,205
703,2023-02-07,263
717,2020-11-05,57
466,2020-06-09,276
793,2022-08-02,359
581,2020-10-27,267
501,2023-04-17,152
264,2023-06-19,63
863,2020-05-14,499
338,2022-03-12,212
260,2023-10-17,76
112,2021-01-10,267
66,2023-10-26,123
784,2020-02-29,64
297,2021-08-12,79
824,2020-10-09,85
303,2019-07-18,242
573,2023-12-23,66
662,2020-07-05,257
769,2023-07-22,390
141,2020-08-28,45
289,2023-03-06,412
605,2022-03-31,326
130,2020-01-24,113
719,2019-12-24,129
976,2023-10-09,411
103,2022-02-27,280
980,2022-04-19,273
762,2022-09-07,314
685,2022-11-28,343
661,2021-09-12,59
334,2019-08-04,311
440,2023-08-25,424
806,2020-06-14,273
417,2019-09-21,116
450,2022-10-10,45
614,2022-04-13,123
335,2023-09-02,122
604,2022-09-20,94
927,2019-05-22,104
190,2020-01-29,233
936,2020-07-09,132
430,2022-09-30,331
724,2022-11-17,76
594,2021-07-10,462
143,2022-08-08,403
241,2023-10-20,120
907,2022-06-28,269
966,2022-09-30,154
600,2022-08-26,445
342,2019-05-08,160
374,2019-07-02,103
755,2019-01-29,226
163,2021-05-16,249
657,2021-07-07,437
896,2020-04-23,375
458,2023-11-26,456
995,2020-10-30,321
368,2019-12-31,460
416,2023-05-11,80
196,2019-07-18,236
461,2022-11-12,75
153,2020-06-29,48
579,2020-07-22,130
208,2023-10-03,111
685,2023-01-17,161
750,2022-03-30,471
711,2022-08-26,121
