date,product,sales
2019-01-27,Product_D,52
2019-05-21,Product_E,93
2020-10-04,Product_D,15
2019-09-27,Product_E,72
2020-07-18,Product_C,61
2021-03-14,Product_B,21
2023-03-15,Product_D,83
2020-06-13,Product_A,87
2023-09-11,Product_B,75
2021-11-28,Product_A,75
2021-10-24,Product_C,88
2019-11-09,Product_E,24
2020-04-05,Product_B,3
2019-12-22,Product_E,22
2023-01-03,Product_A,53
2022-10-22,Product_D,2
2019-01-27,Product_C,88
2020-07-05,Product_D,30
2022-04-25,Product_B,38
2023-11-21,Product_A,2
2022-04-10,Product_D,64
2023-02-27,Product_D,60
2022-01-19,Product_E,21
2019-10-10,Product_B,33
2019-05-15,Product_D,76
2023-09-13,Product_E,58
2021-11-22,Product_C,22
2020-01-29,Product_D,89
2023-02-25,Product_C,49
2020-01-15,Product_E,91
2023-07-02,Product_B,59
2020-02-10,Product_E,42
2020-07-31,Product_D,92
2019-10-30,Product_A,60
2021-02-20,Product_E,80
2022-12-04,Product_D,15
2022-04-29,Product_D,62
2022-04-05,Product_E,62
2021-04-28,Product_B,47
2023-04-26,Product_D,62
2022-05-12,Product_B,51
2019-11-12,Product_B,55
2019-12-12,Product_A,64
2021-11-20,Product_D,3
2019-07-03,Product_A,51
2020-06-15,Product_A,7
2022-01-31,Product_A,21
2022-09-22,Product_A,73
2021-06-26,Product_E,39
2020-12-06,Product_B,18
2020-02-06,Product_C,4
2023-03-09,Product_D,89
2022-04-06,Product_B,60
2022-12-07,Product_C,14
2023-05-07,Product_E,9
2019-05-19,Product_E,90
2019-09-23,Product_B,53
2019-10-23,Product_A,2
2021-07-07,Product_C,84
2021-03-26,Product_C,92
2021-01-09,Product_D,60
2021-05-10,Product_B,71
2020-12-17,Product_B,44
2019-07-08,Product_E,8
2023-08-17,Product_A,47
2022-08-12,Product_C,35
2023-04-17,Product_B,78
2021-01-13,Product_D,81
2020-12-21,Product_A,36
2022-02-16,Product_E,50
2019-08-27,Product_B,4
2022-06-28,Product_D,2
2022-08-27,Product_B,6
2022-12-22,Product_B,54
2019-05-26,Product_A,4
2021-08-03,Product_E,54
2022-08-03,Product_C,93
2022-10-17,Product_D,63
2019-01-24,Product_E,18
